iloc,x,y,z,t
11,1.2589254117941673,3.526527270457852,0,9000
11,1.2589254117941673,3.526527270457852,0,10800
12,1.2589254117941673,4.408159088072315,0,1800
12,1.2589254117941673,4.408159088072315,0,3600
12,1.2589254117941673,4.408159088072315,0,5400
12,1.2589254117941673,4.408159088072315,0,7200
12,1.2589254117941673,4.408159088072315,0,9000
12,1.2589254117941673,4.408159088072315,0,10800
13,1.2589254117941673,5.289790905686778,0,1800
13,1.2589254117941673,5.289790905686778,0,3600
13,1.2589254117941673,5.289790905686778,0,5400
13,1.2589254117941673,5.289790905686778,0,7200
13,1.2589254117941673,5.289790905686778,0,9000
13,1.2589254117941673,5.289790905686778,0,10800
14,1.5848931924611136,0.0,0,1800
14,1.5848931924611136,0.0,0,3600
14,1.5848931924611136,0.0,0,5400
14,1.5848931924611136,0.0,0,7200
14,1.5848931924611136,0.0,0,9000
14,1.5848931924611136,0.0,0,10800
15,1.5848931924611136,0.9744055076668867,0,1800
15,1.5848931924611136,0.9744055076668867,0,3600
15,1.5848931924611136,0.9744055076668867,0,5400
15,1.5848931924611136,0.9744055076668867,0,7200
15,1.5848931924611136,0.9744055076668867,0,9000
15,1.5848931924611136,0.9744055076668867,0,10800
16,1.5848931924611136,1.9488110153337734,0,1800
16,1.5848931924611136,1.9488110153337734,0,3600
16,1.5848931924611136,1.9488110153337734,0,5400
16,1.5848931924611136,1.9488110153337734,0,7200
16,1.5848931924611136,1.9488110153337734,0,9000
16,1.5848931924611136,1.9488110153337734,0,10800
17,1.5848931924611136,2.92321652300066,0,1800
17,1.5848931924611136,2.92321652300066,0,3600
17,1.5848931924611136,2.92321652300066,0,5400
17,1.5848931924611136,2.92321652300066,0,7200
17,1.5848931924611136,2.92321652300066,0,9000
17,1.5848931924611136,2.92321652300066,0,10800
18,1.5848931924611136,3.897622030667547,0,1800
18,1.5848931924611136,3.897622030667547,0,3600
18,1.5848931924611136,3.897622030667547,0,5400
18,1.5848931924611136,3.897622030667547,0,7200
18,1.5848931924611136,3.897622030667547,0,9000
18,1.5848931924611136,3.897622030667547,0,10800
19,1.5848931924611136,4.872027538334434,0,1800
19,1.5848931924611136,4.872027538334434,0,3600
19,1.5848931924611136,4.872027538334434,0,5400
19,1.5848931924611136,4.872027538334434,0,7200
19,1.5848931924611136,4.872027538334434,0,9000
19,1.5848931924611136,4.872027538334434,0,10800
20,1.5848931924611136,5.84643304600132,0,1800
20,1.5848931924611136,5.84643304600132,0,3600
20,1.5848931924611136,5.84643304600132,0,5400
20,1.5848931924611136,5.84643304600132,0,7200
20,1.5848931924611136,5.84643304600132,0,9000
20,1.5848931924611136,5.84643304600132,0,10800
21,1.9952623149688797,0.0,0,1800
21,1.9952623149688797,0.0,0,3600
21,1.9952623149688797,0.0,0,5400
21,1.9952623149688797,0.0,0,7200
21,1.9952623149688797,0.0,0,9000
21,1.9952623149688797,0.0,0,10800
22,1.9952623149688797,1.076941728283636,0,1800
22,1.9952623149688797,1.076941728283636,0,3600
22,1.9952623149688797,1.076941728283636,0,5400
22,1.9952623149688797,1.076941728283636,0,7200
22,1.9952623149688797,1.076941728283636,0,9000
22,1.9952623149688797,1.076941728283636,0,10800
23,1.9952623149688797,2.153883456567272,0,1800
23,1.9952623149688797,2.153883456567272,0,3600
23,1.9952623149688797,2.153883456567272,0,5400
23,1.9952623149688797,2.153883456567272,0,7200
23,1.9952623149688797,2.153883456567272,0,9000
23,1.9952623149688797,2.153883456567272,0,10800
24,1.9952623149688797,3.230825184850908,0,1800
24,1.9952623149688797,3.230825184850908,0,3600
24,1.9952623149688797,3.230825184850908,0,5400
24,1.9952623149688797,3.230825184850908,0,7200
