case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,c_surf,c_surf_inf, C_dep, D_dep, delta_dep
23,5,8.00000000e-01,4.64158883e+01,3.67888983e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.67888947e+01,3.67888947e+01,3.70560825e-01,2.15317326e+00,6.57727569e-03,6.43117860e-310,2.54916255e+05,6.10374929e+01,0.00000000e+00,1.09867487e+05,1.17675739e+05,1.05144147e+01,9.81674167e+00,0.00000000e+00,4.77336456e+02,4.05637102e-03
23,5,8.00000000e-01,4.64158883e+01,5.51833474e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.67888947e+01,3.67888947e+01,3.70560825e-01,2.15317326e+00,3.52056177e-03,6.43117860e-310,1.36446831e+05,3.26710137e+01,0.00000000e+00,5.88078247e+04,6.29872803e+04,5.62796032e+00,5.25452286e+00,0.00000000e+00,2.55499778e+02,4.05637102e-03
23,5,8.00000000e-01,4.64158883e+01,7.35777965e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.67888947e+01,3.67888947e+01,3.70560825e-01,2.15317326e+00,1.46758805e-03,6.43117860e-310,5.68794844e+04,1.36193007e+01,0.00000000e+00,2.45147413e+04,2.62569970e+04,2.34608221e+00,2.19041036e+00,0.00000000e+00,1.06508122e+02,4.05637102e-03
23,5,8.00000000e-01,4.64158883e+01,9.19722457e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.67888947e+01,3.67888947e+01,3.70560825e-01,2.15317326e+00,4.76456026e-04,6.43117860e-310,1.84660628e+04,4.42153905e+00,0.00000000e+00,7.95877029e+03,8.52439786e+03,7.61661286e-01,7.11122042e-01,0.00000000e+00,3.45781204e+01,4.05637102e-03
23,5,8.00000000e-01,4.64158883e+01,1.10366695e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.67888947e+01,3.67888947e+01,3.70560825e-01,2.15317326e+00,1.20466935e-04,6.43117860e-310,4.66895129e+03,1.11794001e+00,0.00000000e+00,2.01229202e+03,2.15530505e+03,1.92578109e-01,1.79799788e-01,0.00000000e+00,8.74271694e+00,4.05637102e-03
23,5,8.00000000e-01,1.00000000e+02,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,6.96879300e-03,6.43117860e-310,5.33465859e+04,1.36738459e+01,0.00000000e+00,2.46129226e+04,2.52495228e+04,5.45310608e-01,5.31562037e-01,0.00000000e+00,2.47561694e+01,9.80460882e-04
23,5,8.00000000e-01,1.00000000e+02,2.86234910e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,6.14993787e-03,6.43117860e-310,4.70781940e+04,1.20671259e+01,0.00000000e+00,2.17208267e+04,2.22826244e+04,4.81234894e-01,4.69101823e-01,0.00000000e+00,2.18472416e+01,9.80460882e-04
23,5,8.00000000e-01,1.00000000e+02,5.72469820e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,4.22678561e-03,6.43117860e-310,3.23563322e+04,8.29360479e+00,0.00000000e+00,1.49284886e+04,1.53146061e+04,3.30747524e-01,3.22408596e-01,0.00000000e+00,1.50153722e+01,9.80460882e-04
23,5,8.00000000e-01,1.00000000e+02,8.58704730e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,2.26243503e-03,6.43117860e-310,1.73190945e+04,4.43924622e+00,0.00000000e+00,7.99064320e+03,8.19731696e+03,1.77036371e-01,1.72572865e-01,0.00000000e+00,8.03714862e+00,9.80460882e-04
23,5,8.00000000e-01,1.00000000e+02,1.14493964e+02,0.00000000e+00,3.60000000e+03,1.80000000e+03,5.72469711e+01,5.72469711e+01,1.87613225e+00,4.25281568e-01,9.43122675e-04,6.43117860e-310,7.21966843e+03,1.85055204e+00,0.00000000e+00,3.33099368e+03,3.41714807e+03,7.37996952e-02,7.19390302e-02,0.00000000e+00,3.35038001e+00,9.80460882e-04
